DR,DLR_Cor,Ta_5m,Press,UR,ULR_Cor,Rain
0.0,325.1666666666667,8.963333333333333,854.0,1.026,356.8666666666666,0.0
0.0,322.93333333333334,8.796666666666667,854.0,1.368,356.0,0.0
0.0,323.23333333333335,8.776666666666666,854.0,1.368,355.3,0.0
0.0,323.03333333333336,8.78,854.0,1.3603333333333334,355.0,0.0
0.0,322.6333333333333,8.686666666666666,854.0,0.9730000000000002,354.59999999999997,0.0
0.0,321.4,8.5,854.0,0.8893333333333334,353.7,0.0
0.0,325.8333333333333,8.46,854.0,1.0490000000000002,353.90000000000003,0.0
0.0,322.40000000000003,8.093333333333334,854.0,0.836,352.7333333333333,0.0
0.0,320.3666666666667,8.084333333333333,854.6666666666666,0.4333333333333333,351.56666666666666,0.0
0.0,315.56666666666666,6.184666666666666,855.0,0.129,345.6666666666667,0.0
0.0,312.3,5.155,856.0,0.2583333333333333,341.4666666666667,0.0
0.0,311.03333333333336,4.178999999999999,856.3333333333334,0.4333333333333333,338.43333333333334,0.0
0.0,317.6333333333334,4.1433333333333335,857.0,0.6156666666666667,339.53333333333336,0.0
0.0,318.59999999999997,4.059,857.6666666666666,0.456,338.8666666666666,0.0
0.0,315.1666666666667,3.823333333333333,858.0,0.4636666666666666,337.3666666666667,0.0
0.0456666666666666,316.3,3.686666666666667,858.0,0.4943333333333333,336.93333333333334,0.0
7.534333333333333,317.1666666666667,3.619,858.6666666666666,2.3493333333333335,337.90000000000003,0.0
27.386666666666667,317.03333333333336,3.683666666666667,859.0,6.767,340.43333333333334,0.0
65.11333333333333,312.2666666666667,3.828666666666667,859.0,14.47,344.8,0.0
244.9666666666667,251.23333333333332,4.1499999999999995,859.0,66.35333333333334,351.23333333333335,0.0
357.3666666666666,239.13333333333335,4.605,859.0,86.33999999999999,364.8,0.0
476.23333333333335,242.5,5.639333333333333,859.0,106.43333333333332,387.76666666666665,0.0
556.8333333333334,244.9666666666667,6.218333333333334,859.0,119.96666666666664,407.7,0.0
627.5999999999999,246.8,6.791,858.3333333333334,132.83333333333334,426.3333333333333,0.0
681.5999999999999,248.9666666666667,7.52,858.0,143.16666666666666,444.1333333333334,0.0
722.9,251.9,8.269333333333334,858.0,151.00000000000003,459.9,0.0
748.7333333333332,252.8,8.983333333333334,857.0,157.36666666666665,469.9333333333334,0.0
755.9333333333334,252.8,9.633333333333336,857.0,160.23333333333332,479.96666666666664,0.0
743.4333333333334,254.66666666666663,10.416666666666666,856.0,157.86666666666667,487.76666666666665,0.0
717.6999999999999,254.0666666666667,10.676666666666668,855.6666666666666,153.79999999999998,489.06666666666666,0.0
676.5333333333334,254.76666666666665,11.526666666666666,855.0,147.03333333333333,487.0333333333333,0.0
612.8666666666667,255.3,12.256666666666668,855.0,135.46666666666667,482.7,0.0
535.3000000000001,252.7,12.170000000000002,854.6666666666666,123.36666666666667,469.3,0.0
447.8666666666666,251.76666666666665,12.39,854.0,109.0,455.56666666666666,0.0
351.5666666666666,251.66666666666663,12.71,854.0,91.76666666666668,439.3999999999999,0.0
252.5,248.19999999999996,12.666666666666666,854.0,74.11,418.1333333333334,0.0
151.4,245.0,12.71,854.0,53.61333333333334,397.8333333333333,0.0
44.47666666666667,246.0666666666667,12.703333333333331,853.6666666666666,18.603,380.8,0.0
1.2073333333333334,247.86666666666665,12.04,853.0,3.531,366.3,0.0
0.0,246.36666666666667,11.046666666666669,853.0,2.446,357.5,0.0
0.0,245.76666666666665,9.986666666666666,853.6666666666666,2.249,351.40000000000003,0.0
0.0,242.7,8.896666666666667,854.0,2.2343333333333333,346.09999999999997,0.0
0.0,245.3,8.83,854.0,1.862,344.8,0.0
0.0,245.4333333333333,8.141666666666666,853.0,1.353,342.1333333333334,0.0
0.0,244.3,7.459333333333333,853.0,1.368,339.0,0.0
0.0,242.4,6.869,853.0,1.3756666666666668,335.8333333333333,0.0
0.0,240.5666666666667,6.2556666666666665,853.0,1.4063333333333334,332.5333333333333,0.0
0.0,237.9333333333333,5.62,853.0,1.3833333333333335,329.40000000000003,0.0
0.0,234.66666666666663,4.386333333333333,852.0,1.3153333333333337,324.1666666666667,0.0
0.0,231.1,3.281,852.0,1.7793333333333334,319.3333333333333,0.0
0.0,229.16666666666663,3.25,851.0,2.289,317.4,0.0
0.0,226.66666666666663,2.548666666666666,851.0,2.0003333333333333,313.46666666666664,0.0
0.0,224.96666666666667,2.22,850.6666666666666,3.1943333333333332,308.76666666666665,0.0
0.0,220.5666666666667,1.0373333333333332,850.0,2.6166666666666667,304.6,0.0
0.0,218.33333333333337,-0.766,850.0,2.039,300.56666666666666,0.0
0.0,218.9333333333333,-1.3786666666666667,850.0,2.123,298.3666666666667,0.0
0.0,219.4,-1.5656666666666668,849.3333333333334,2.3513333333333333,297.8333333333333,0.0
0.0,220.33333333333337,-2.0316666666666667,849.0,2.0243333333333333,295.43333333333334,0.0
0.0,217.36666666666667,-2.412,849.0,2.085,293.76666666666665,0.0
0.0,218.7,-2.125,849.0,2.74,293.59999999999997,0.0
0.0,222.13333333333335,-0.6776666666666666,849.0,2.7473333333333336,294.8666666666667,0.0
0.0,222.80000000000004,-0.9936666666666666,849.0,2.7243333333333335,292.23333333333335,0.0
0.0,226.3,-2.15,849.0,2.3136666666666668,290.79999999999995,0.0
1.7046666666666666,227.9,-2.506666666666667,849.6666666666666,3.980333333333333,290.93333333333334,0.0
22.073333333333338,232.36666666666665,-1.715,850.0,9.705666666666666,293.8333333333333,0.0
71.51,230.9333333333333,-1.8576666666666664,850.0,23.139999999999997,301.0333333333333,0.0
150.43333333333334,231.1,-0.6323333333333334,850.6666666666666,47.653333333333336,312.79999999999995,0.0
253.6,248.63333333333333,1.352,851.0,65.48,334.76666666666665,0.0
262.09999999999997,265.2,2.164,851.0,58.71,349.1666666666667,0.0
264.73333333333335,267.93333333333334,2.6726666666666667,851.0,58.57333333333333,354.8333333333333,0.0
335.6666666666667,271.2,3.4906666666666664,851.0,73.67666666666666,368.36666666666673,0.0
447.43333333333334,271.33333333333337,4.568333333333333,851.0,97.16666666666669,388.8999999999999,0.0
418.0,280.93333333333334,5.547,851.0,88.8,399.7000000000001,0.0
449.6666666666667,291.40000000000003,6.626333333333332,851.0,95.16666666666669,411.0333333333333,0.0
490.6666666666667,293.53333333333336,7.452666666666667,851.0,104.03333333333336,421.6,0.0
526.0333333333333,285.3666666666667,8.243333333333334,850.6666666666666,113.23333333333332,433.26666666666665,0.0
425.2,294.50000000000006,8.71,850.0,91.3,426.6333333333334,0.0
345.6333333333334,298.8,9.186666666666666,850.0,74.06333333333333,421.93333333333334,0.0
309.9,300.1666666666667,9.596666666666666,850.0,67.03333333333332,413.5333333333333,0.0
278.3666666666666,295.90000000000003,9.66,850.0,61.10999999999999,407.1,0.0
287.6333333333333,292.76666666666665,9.783333333333331,850.0,63.673333333333325,409.0,0.0
202.16666666666663,296.7333333333333,9.98,850.0,44.88666666666666,399.26666666666665,0.0
149.4,302.1333333333333,10.233333333333334,850.0,33.516666666666666,393.0333333333333,0.0
90.35333333333334,290.6333333333334,10.21,850.0,21.303333333333335,381.4333333333334,0.0
64.97666666666667,285.2666666666667,10.176666666666668,850.0,16.583333333333336,373.1,0.0
21.51,280.2333333333333,9.936666666666667,850.0,7.688,363.1,0.0
