Gs_1,Gs_2,Gs_3,Ts_0cm,Ts_2cm,Ts_4cm,Ts_10cm,Ts_20cm,Ts_40cm,Ts_60cm,Ts_100cm,Ms_2cm
-22.593333333333337,-21.166666666666668,-21.396666666666665,9.746666666666664,14.626666666666669,16.793333333333333,19.06,19.63,20.27,20.44,20.37,3.0269999999999997
-22.086666666666662,-20.799999999999997,-20.9,9.493333333333334,14.409999999999998,16.526666666666667,18.91,19.63,20.266666666666666,20.44,20.37,3.0239999999999996
-21.929999999999996,-20.67,-20.74,9.37,14.183333333333332,16.28,18.766666666666666,19.63,20.266666666666666,20.436666666666667,20.37,3.0246666666666666
-21.75,-20.569999999999997,-20.593333333333337,9.293333333333337,13.98,16.05333333333333,18.62,19.62,20.27,20.43,20.36666666666667,3.023666666666667
-21.606666666666666,-20.459999999999997,-20.459999999999997,9.156666666666666,13.786666666666669,15.839999999999998,18.483333333333334,19.603333333333335,20.26,20.43,20.36,3.0239999999999996
-21.540000000000003,-20.45,-20.44,8.93,13.58,15.64,18.35,19.59,20.26,20.426666666666662,20.36,3.023666666666667
-21.52,-20.53333333333333,-20.413333333333338,8.983333333333333,13.393333333333333,15.443333333333332,18.21666666666667,19.566666666666663,20.26,20.42,20.36,3.0233333333333334
-21.246666666666663,-20.386666666666667,-20.163333333333338,8.799999999999999,13.25,15.26,18.086666666666662,19.536666666666665,20.25,20.42,20.36,3.023666666666667
-21.19,-20.356666666666666,-20.08,8.546666666666667,13.083333333333334,15.093333333333334,17.96,19.516666666666666,20.25,20.416666666666668,20.36,3.0233333333333334
-21.616666666666664,-20.703333333333333,-20.47,7.466333333333332,12.86,14.92,17.84,19.48333333333333,20.25,20.403333333333332,20.356666666666666,3.0216666666666665
-22.766666666666666,-21.626666666666665,-21.51,6.6003333333333325,12.556666666666668,14.736666666666666,17.723333333333333,19.453333333333333,20.236666666666665,20.39,20.34,3.015333333333333
