rho
1.0545
1.0552
1.0552
1.0552
1.0556
1.0563
1.0564
1.0578
1.0587
1.0663
1.0715
1.0757
1.0766
1.0778
1.0791
1.0797
1.0808
1.0809
1.0804
1.0791
1.0774
1.0734
1.0711
1.0681
1.0649
1.0621
1.0582
1.0557
1.0516
1.0502
1.0463
1.0436
1.0435
1.0419
1.0407
1.0409
1.0407
1.0403
1.0419
1.0456
1.0503
1.0548
1.055
1.0564
1.059
1.0612
1.0635
1.0659
1.0694
1.0737
1.0726
1.0753
1.0762
1.0799
1.0871
1.0895
1.0894
1.0909
1.0924
1.0913
1.0855
1.0867
1.0914
1.0937
1.0909
1.0915
1.0874
1.08
1.0768
1.0748
1.0716
1.0675
1.0637
1.0596
1.0565
1.0531
1.0505
1.0488
1.0473
1.047
1.0466
1.0458
1.0449
1.045
1.0451
1.046
1.0471
1.0496
1.0523
1.0535
1.0552
1.057
1.0627
1.0668
1.068
1.0658
1.0678
1.0758
1.0757
1.0814
1.0739
1.0703
1.0721
1.0729
1.0704
1.0696
1.0718
1.0741
1.0738
1.0745
1.0772
1.0784
1.0784
1.0782
1.0723
1.0626
1.0568
1.0506
1.0424
1.0382
1.0346
1.0304
1.0257
1.023
1.02
1.0196
1.0185
1.0189
1.0186
1.0172
1.0178
1.0186
1.0202
1.023
1.0266
1.0324
1.037
1.0417
1.046
1.0474
1.0502
1.0513
1.0543
1.0548
1.055
1.0573
1.0632
1.0628
1.0666
1.0711
1.0705
1.0737
1.0744
1.0785
1.0762
1.0755
1.0691
1.0726
1.0776
1.0819
1.0825
1.0788
1.0696
1.061
1.0596
1.0547
1.0492
1.0453
1.0411
1.0377
1.0329
1.0292
1.0274
1.0251
1.0247
1.0238
1.0232
1.0235
1.0257
1.0274
1.0288
1.0314
1.0354
1.0371
1.0388
1.0415
1.0425
1.0452
1.0445
1.0447
1.0448
1.0449
1.0476
1.0511
1.0517
1.0528
1.053
1.0542
1.0543
1.0553
1.057
1.0579
1.0592
1.0613
1.0619
1.0625
1.0629
1.0636
1.0663
1.0671
1.0674
1.0668
1.0648
1.0631
1.0595
1.0543
1.0493
1.0476
1.0472
1.0422
1.0395
1.0379
1.0352
1.0347
1.0337
1.0334
1.0341
1.035
1.0362
1.0379
1.0406
1.0444
1.0486
1.0582
1.0616
1.0639
1.0644
1.0657
1.0737
1.0736
1.0692
1.0711
1.0812
1.079
1.086
1.0857
1.0855
1.0853
1.0866
1.0829
1.0857
1.0812
1.0884
1.0944
1.0908
1.0892
1.0895
1.0888
1.0836
1.0796
1.0761
1.072
1.0656
1.0607
1.056
1.0521
1.0471
1.0429
1.0416
1.0425
1.0427
1.0406
1.039
1.042
1.0433
1.0447
1.045
1.0459
1.0479
1.0494
1.0503
1.0514
1.0514
1.0519
1.0529
1.0554
1.0545
1.0583
1.0602
1.0633
1.0662
1.0672
1.0669
1.0658
1.0627
1.0628
1.0618
1.0633
1.0642
1.0671
1.0694
1.0711
1.0747
1.0781
1.0826
1.0831
1.0854
1.0738
1.0613
1.0551
1.0477
1.0441
1.0399
1.0371
1.035
1.0333
1.0325
1.0317
1.0305
1.0304
1.0291
1.0292
1.0285
1.0294
1.0299
1.0326
1.0376
1.0426
1.0438
1.0463
1.0507
1.0562
1.0561
1.0583
1.0573
1.0573
1.0582
1.0588
1.0591
1.0621
1.0636
1.0684
1.071
1.0728
1.0745
1.0763
1.0771
1.0788
1.0747
1.0773
1.0775
1.0815
1.0827
1.08
1.0736
1.0631
1.0506
1.0433
1.0407
1.0371
1.033
1.0316
1.0309
1.0296
1.0283
1.0274
1.0271
1.026
1.0258
1.0271
1.0272
1.0279
1.0295
1.032
1.0333
1.0346
1.036
1.0383
1.0423
1.0463
1.0507
1.0572
1.06
1.0634
1.0652
1.067
1.0688
1.071
1.0716
1.0739
1.0768
1.0778
1.0789
1.0794
1.0811
1.0858
1.0876
1.0913
1.0931
1.0927
1.093
1.0908
1.0836
1.0809
1.0714
1.0627
1.0568
1.0502
1.0406
1.0361
1.0343
1.0317
1.0293
1.0285
1.0271
1.0265
1.0259
1.0252
1.0251
1.026
1.0278
1.0319
1.0381
1.0416
1.0463
1.0532
1.0567
1.0593
1.0617
1.0651
1.064
1.0621
1.0692
1.0673
1.0679
1.0711
1.0777
1.0857
1.0825
1.0837
1.0751
1.0737
1.0786
1.0748
1.0764
1.0795
1.0785
1.0797
1.0809
1.0838
1.0772
1.0698
1.0594
1.0501
1.0431
1.0375
1.0337
1.0304
1.0281
1.0258
1.0221
1.0212
1.0197
1.0176
1.0162
1.0162
1.016
1.0164
1.0177
1.0215
1.0277
1.0307
1.0402
1.0483
1.0509
1.0531
1.0573
1.0591
1.0606
1.0608
