Gs_1,Gs_2,Gs_3,Ts_0cm,Ts_2cm,Ts_4cm,Ts_10cm,Ts_20cm,Ts_40cm,Ts_60cm,Ts_100cm,Ms_2cm
-25.413333333333338,-21.73,-13.083333333333334,-1.3996666666666666,10.633333333333336,12.43,12.833333333333334,9.436666666666667,10.81,10.28,9.6,2.7676666666666665
-26.433333333333337,-23.023333333333337,-13.9,-2.0636666666666668,10.063333333333333,12.046666666666669,12.553333333333333,9.39,10.796666666666669,10.27,9.566666666666666,2.708
-26.96666666666667,-23.896666666666665,-14.453333333333331,-2.548666666666667,9.496666666666668,11.633333333333333,12.236666666666666,9.29,10.810000000000002,10.21,9.543333333333331,2.6553333333333335
-26.973333333333333,-24.31,-14.723333333333334,-2.751,9.013333333333334,11.27,11.96,9.176666666666668,10.85,10.2,9.566666666666668,2.609666666666667
-26.796666666666667,-24.436666666666667,-14.833333333333334,-3.1223333333333336,8.590000000000002,10.920000000000002,11.673333333333332,9.043333333333337,10.88,10.2,9.58,2.572
-26.8,-24.596666666666668,-14.936666666666667,-3.671333333333333,8.196666666666667,10.606666666666667,11.403333333333334,8.936666666666666,10.88,10.2,9.58,2.5363333333333333
-26.936666666666667,-24.866666666666664,-15.133333333333333,-3.653,7.815333333333332,10.283333333333331,11.14,8.796666666666667,10.88,10.2,9.576666666666666,2.5000000000000004
-25.793333333333333,-24.24666666666667,-14.846666666666666,-2.9019999999999997,7.483666666666667,9.986666666666666,10.856666666666667,8.633333333333333,10.896666666666668,10.21,9.52,2.4783333333333335
-24.473333333333333,-23.093333333333337,-14.263333333333334,-3.873,7.265666666666667,9.743333333333332,10.653333333333334,8.540000000000001,10.936666666666667,10.253333333333334,9.55,2.454333333333333
-25.336666666666662,-23.46666666666667,-14.533333333333331,-4.786666666666666,7.03,9.503333333333334,10.41,8.39,10.953333333333331,10.256666666666666,9.556666666666668,2.4410000000000003
-26.453333333333333,-24.316666666666663,-15.123333333333331,-5.076666666666667,6.678,9.273333333333332,10.163333333333334,8.236666666666666,10.993333333333334,10.226666666666668,9.57,2.408333333333333
-27.05666666666667,-24.793333333333337,-15.5,-6.342,6.354333333333334,9.003333333333334,9.96,8.063333333333333,10.993333333333334,10.26,9.58,2.3746666666666667
-28.48,-26.22,-16.236666666666668,-6.959333333333333,6.015666666666667,8.793333333333335,9.756666666666668,7.946666666666666,11.046666666666669,10.303333333333333,9.626666666666669,2.3373333333333335
-29.53,-27.36,-16.906666666666666,-6.429666666666667,5.564333333333333,8.476666666666667,9.5,7.75,10.976666666666668,10.293333333333331,9.586666666666666,2.2996666666666665
