Wnd,H2O,Hs,LE,Ustar,L
5.20639,4.300974,-28.0473,-1.32808,0.137963,7.13073
4.99,4.283424,-30.4261,-1.59687,0.144756,7.59164
4.77638,4.279464,-37.0155,-1.95232,0.125807,4.09596
3.87225,4.275414,63.9871,3.40494,0.0717866,-0.44024
2.61918,4.293792000000001,-8.33344,-0.312353,0.0897698,6.61301
3.10735,4.298940000000001,-14.5887,-1.01492,0.0678283,1.62888
3.14605,4.304034,-6.32399,-0.210938,0.0472659,1.27145
1.9063,4.296564,-14.4144,-0.983603,0.0907379,3.94697
2.76463,4.292514,-1.28805,0.115587,0.0730477,23.0469
2.89028,4.311305999999999,-14.9751,-0.898327,0.0681648,1.61075
2.77457,4.3168679999999995,-7.12187,-0.474252,0.0578551,2.0711
2.52635,4.312008,-2.58511,-0.212133,0.0677692,9.17075
2.58978,4.312278,-12.1273,-0.647763,0.0240188,0.0870357
2.40945,4.319028,-15.5133,-0.872785,0.114153,7.30616
2.12094,4.321206,-10.0658,-0.424947,0.106737,9.20893
0.648408,4.3591679999999995,-3.8718,3.32038,0.129251,42.5268
1.18962,4.345884,20.3225,1.27372,0.136811,-9.60747
2.08527,4.4476379999999995,61.2035,6.84863,0.14952,-4.16331
2.65299,4.661495999999999,132.93,14.8262,0.253782,-9.37444
2.51827,4.889034,167.045,24.5125,0.159878,-1.86555
3.0376,4.83057,199.212,9.93923,0.249293,-5.9296
3.05028,4.824882,263.939,2.37073,0.314602,-8.99325
2.95242,4.7185559999999995,223.223,19.0078,0.236533,-4.51776
2.93715,4.744871999999999,283.187,17.3374,0.269112,-5.24263
3.36334,4.656402,233.629,17.6274,0.286782,-7.68611
3.20624,4.6998359999999995,279.697,22.1305,0.195279,-2.02611
3.62881,4.747662,259.147,9.16792,0.338317,-11.3646
3.84815,4.903452,259.792,13.2931,0.233485,-3.72522
3.75177,4.913189999999999,279.163,18.1535,0.321191,-9.02165
3.10832,4.868802,203.727,13.7657,0.109815,-0.493921
3.06189,4.957704,209.395,11.17,0.147221,-1.15748
2.67086,4.9612680000000005,177.927,4.03961,0.324736,-14.6146
2.36694,5.0031360000000005,189.612,8.80142,0.269906,-7.8723
2.73174,4.956588,159.166,5.24144,0.213154,-4.61738
2.13438,4.9589099999999995,70.0343,5.48023,0.254458,-17.8502
2.31798,4.993866,46.0917,1.00125,0.156562,-6.31632
2.54859,5.072004000000001,9.19533,2.02354,0.149035,-27.3099
1.84981,5.2470360000000005,-21.2241,-2.53247,0.209926,33.0689
2.97642,5.179176,-30.6837,-7.45944,0.161243,10.3679
4.24588,4.946238,-11.5706,0.253877,0.0830384,3.75595
2.18262,4.77333,-66.7447,4.86817,0.148126,3.69838
2.24569,4.580766,-19.8045,0.624151,0.0936125,3.14626
1.30326,4.43304,-37.6771,0.514923,0.231406,24.9794
1.899,4.423518,-44.7331,-2.63028,0.218938,17.816
4.4547,4.5179279999999995,-18.1267,-1.19401,0.0545155,0.678606
4.23565,4.548744,-21.3145,-0.366532,0.109065,4.62194
3.76787,4.532400000000001,-27.4055,-2.2077,0.143616,8.20375
3.09381,4.48128,-42.5594,0.518867,0.190767,12.3773
2.13644,4.42854,-12.4396,-0.632571,0.104681,6.99668
2.16174,4.40397,-13.2702,-0.582587,0.144749,17.3299
2.07499,4.408254,26.4615,-0.279665,0.354035,-127.125
4.30418,4.52043,-95.097,5.61592,0.388312,46.6871
4.89274,4.607136000000001,-33.4124,-2.08054,0.152129,7.98925
4.87022,4.670334,-50.4908,-2.57349,0.268929,29.2132
5.36353,4.675788000000001,-51.0524,-1.52189,0.338091,57.4065
7.17541,4.701726,-65.0778,-1.77926,0.465854,117.851
5.63951,4.640922000000001,-50.44,-1.75092,0.338584,58.4107
4.19013,4.516164,-59.6759,1.29483,0.304015,35.7638
3.18746,4.40667,-49.5428,0.599406,0.266135,28.9057
2.65068,4.497678,-22.9393,-2.26472,0.0737558,1.32908
1.74903,4.542714,-11.2665,-0.336374,0.0672255,2.04913
1.3578,4.474746,-11.4126,0.903194,0.125739,13.2383
1.27539,4.502178,-7.74056,0.436304,0.148663,32.272
1.68326,4.453956,-4.80986,1.86269,0.124579,30.5787
2.28697,4.395258,16.8837,6.62271,0.196411,-34.151
2.0689,4.36716,56.6237,7.02904,0.160002,-5.50351
2.1195,4.487292,102.553,19.2876,0.182838,-4.53538
2.53238,4.428882000000001,147.554,13.3847,0.142188,-1.48259
2.08136,4.5226440000000006,164.654,10.9442,0.201848,-3.80164
2.20085,4.6817459999999995,199.168,14.172,0.106499,-0.461636
1.86855,4.748346000000001,199.109,16.4238,0.218584,-3.99198
2.09946,4.807368,221.588,14.8566,0.248337,-5.25916
0.920138,4.82175,249.964,18.2303,0.247336,-4.60539
2.65481,4.896972,282.774,19.9351,0.292485,-6.72956
3.07093,4.870062000000001,257.138,10.7788,0.438244,-24.8909
4.1361,4.675536,253.741,18.1201,0.404598,-19.8494
5.11355,4.580586,255.397,16.171,0.422513,-22.4541
4.70877,4.5325619999999995,220.98,19.8799,0.371971,-17.7076
4.80551,4.493519999999999,198.114,10.4925,0.355111,-17.1841
3.89108,4.505004,171.371,15.3103,0.401428,-28.6993
4.46641,4.490639999999999,125.938,6.17696,0.299888,-16.2834
4.14871,4.482648,81.3145,4.78904,0.381506,-51.9263
4.16627,4.490496,44.4835,1.53016,0.31231,-52.0865
3.83514,4.54383,17.0385,-1.08186,0.277984,-95.9111
3.72155,4.459626,6.54214,0.844569,0.250589,-183.034
2.64837,4.499946,-4.1701,-0.374555,0.174816,97.5061
2.15766,4.481154,-23.7253,-2.59631,0.229339,38.7021
2.86592,4.416876,-5.75151,-0.42425,0.0542931,2.11909
3.11637,4.40307,-11.6123,-0.748112,0.0765147,2.93902
3.71157,4.36338,-13.3696,-1.00348,0.0503947,0.729483
4.24445,4.350636000000001,-17.0102,-0.936115,0.09638,4.01193
4.52132,4.351446,-15.7104,-0.816294,0.107454,6.02081
4.81839,4.33593,-23.5924,-1.26787,0.119476,5.51069
4.42642,4.33683,-18.6215,-0.902139,0.114529,6.14976
4.17427,4.32387,-16.3116,-0.515144,0.0572166,0.875362
3.89672,4.362515999999999,-10.7726,-0.744692,0.0728713,2.73869
3.37323,4.353426000000001,19.7414,-0.143159,0.074314,-1.5853
2.79658,4.327128,-8.17224,-0.322773,0.055531,1.59742
2.74853,4.3245,4.70038,-0.24319,0.036985,-0.820289
2.30477,4.321188,7.06863,-0.153986,0.0491157,-1.27724
1.63827,4.31874,-7.3883,-0.283617,0.0868823,6.76236
1.66919,4.327146,-2.25922,-0.0733981,0.0498594,4.17916
2.7365,4.325688,-7.02205,-0.283141,0.0335068,0.408032
2.65308,4.328406,-9.2835,-0.396778,0.0525013,1.18714
3.2477,4.32783,-4.0317,-0.11948,0.0674043,5.78444
3.90544,4.321224,-23.0288,-1.04298,0.0886162,2.30046
3.68107,4.304862,16.4399,1.10938,0.0959251,-4.08815
3.88352,4.298274,2.91883,0.248229,0.107788,-32.6671
3.36711,4.316922000000001,-1.69821,0.0654004,0.0638787,11.6912
3.20857,4.333554,-5.39238,-0.274214,0.0385184,0.807534
2.96572,4.357926,5.10269,0.456898,0.0883709,-10.3101
1.72094,4.378284,-6.8624,0.176752,0.088349,7.66206
0.704631,4.370004,16.6667,5.79961,0.207117,-40.6511
1.82834,4.439286,57.145,5.69011,0.154491,-4.91962
1.6731,4.5930420000000005,116.637,5.19328,0.225089,-7.4558
1.53278,4.656222,129.086,14.4012,0.137806,-1.54612
1.82408,4.794048000000001,178.689,13.9044,0.162396,-1.82752
2.36583,4.7427660000000005,193.067,30.4847,0.267954,-7.59656
2.34308,4.674798000000001,210.426,8.7727,0.234542,-4.67297
2.66793,4.550706,216.404,14.6053,0.293608,-8.91035
2.48376,4.554558,249.476,18.0226,0.348425,-12.9126
1.63504,4.6027439999999995,184.503,5.50847,0.365835,-20.2048
2.05248,4.616028,254.26,15.3722,0.24582,-4.44615
2.17418,4.574232,242.768,16.3428,0.12574,-0.622971
1.58593,4.5820799999999995,188.934,9.85039,0.18808,-2.67849
1.53051,4.62366,206.008,13.4414,0.321492,-12.2645
2.32763,4.6719539999999995,218.83,13.1763,0.277059,-7.38754
2.22038,4.74336,141.55,7.20569,0.161608,-2.26632
1.66867,4.729194000000001,132.573,10.2056,0.239394,-7.86429
2.17994,4.7166120000000005,115.283,6.055,0.265537,-12.3384
1.57836,4.739742000000001,60.7551,1.64401,0.159748,-5.09777
2.32414,4.769352,28.1678,-2.95458,0.237878,-36.3078
2.55427,4.840362,1.26278,1.56966,0.161654,-254.235
2.50829,4.817069999999999,-16.5678,-3.25074,0.155375,17.2079
3.2646,4.713174,-14.4514,-2.42163,0.095631,4.5998
3.46761,4.662468,-5.99657,-0.220981,0.0542715,2.02681
3.02846,4.653774,-9.07993,-0.672178,0.0948216,7.14131
2.34925,4.697532,-13.2259,-1.18887,0.0894079,4.11236
2.53079,4.696866,-17.4162,-1.20387,0.0953005,3.78213
2.37843,4.674834000000001,-13.4707,-0.660329,0.0866824,3.679
3.31377,4.681007999999999,-19.4902,-0.4766,0.0502756,0.496095
3.07448,4.696812,-18.7827,-0.943172,0.116704,6.43922
1.69877,4.74336,-3.24694,-5.43767,0.206771,207.177
1.28836,4.8426659999999995,-11.2266,-4.56818,0.216052,68.3561
1.97863,4.814748,-10.6656,-0.90765,0.123234,13.3502
3.55533,4.817268,-12.1819,-0.589259,0.0822315,3.4727
1.45727,4.89591,-22.5085,-11.1348,0.27353,69.1829
2.24791,5.122098,-16.5328,-3.82128,0.239357,63.1114
2.56753,5.259060000000001,-5.02965,-9.11567,0.337564,581.894
2.84681,5.12712,-11.1804,0.399935,0.154041,24.8719
2.60815,5.047128000000001,-28.5125,-2.74835,0.218292,27.7492
3.33341,4.979628000000001,-12.8633,-0.442812,0.0935907,4.84672
4.07409,4.953258,-15.8799,-0.35114,0.143887,14.2672
4.59653,5.050908,-20.4995,-0.858986,0.219243,39.0977
4.2247,5.352588,-14.3097,-3.56204,0.177783,29.863
1.95839,5.6274120000000005,5.24645,-12.4653,0.429075,-1145.35
2.47093,5.727924,1.16614,-2.08325,0.218939,-684.793
3.51065,5.60907,-21.4022,-0.0892641,0.124028,6.78564
2.77669,5.558526,-23.5122,-8.86242,0.371165,165.599
2.62764,5.949324,1.07379,11.9555,0.220829,-763.849
1.93852,6.054768,-3.41851,-7.37875,0.181057,132.308
1.18536,6.16041,67.68,6.57955,0.14508,-3.4402
1.08078,6.173748,95.1671,6.04184,0.172001,-4.07668
2.18045,6.421734,57.9024,6.42793,0.169473,-6.40822
2.01477,6.2474039999999995,86.0556,16.3132,0.139869,-2.42508
1.72795,6.02622,98.6068,10.1169,0.204122,-6.57675
2.09218,5.730858,97.1209,11.1464,0.187879,-5.20522
2.07258,5.596992,127.482,8.09827,0.169477,-2.91026
2.21173,5.664672,171.063,27.8576,0.23458,-5.75022
2.20927,5.60268,188.177,8.81055,0.187319,-2.66066
1.56666,5.749218,175.157,4.19783,0.215362,-4.34322
2.55072,5.907222,209.459,10.5808,0.287893,-8.67341
1.75109,5.944698000000001,170.399,16.193,0.0987643,-0.430386
2.37035,5.905997999999999,125.382,4.25446,0.146247,-1.89867
1.34449,6.095016,144.509,18.9666,0.22101,-5.68662
2.64459,6.6465,131.198,12.5531,0.301983,-15.9724
2.30548,6.658002000000001,174.872,15.2773,0.322734,-14.631
2.50933,6.5147759999999995,120.52,-0.338831,0.33006,-22.7008
1.49336,6.421626,86.3421,5.10288,0.320871,-29.1216
1.53547,6.3661319999999995,44.6408,1.2633,0.230898,-20.9881
1.89525,6.3961559999999995,4.42852,-1.87257,0.12052,-30.0883
2.38192,6.451758,-20.2431,-0.471786,0.185292,23.9271
2.76531,6.449202,-16.2829,-4.07806,0.131518,10.6405
3.956,6.26535,-20.9786,-4.75832,0.0669734,1.09084
4.54618,6.214283999999999,-21.5948,-3.45183,0.173446,18.4161
4.7938,6.206454,-23.4767,-3.30301,0.186771,21.1592
4.40596,6.228701999999999,-39.7388,-5.21734,0.116489,3.03404
3.66006,6.234768,-24.4538,-1.08327,0.0721115,1.16988
4.70165,6.121116,-25.7949,-1.45597,0.178975,16.9542
4.63534,5.693094,-21.7694,0.0335793,0.157425,13.6728
4.47108,5.399730000000001,-22.5952,0.600768,0.0930227,2.71778
5.30355,5.323823999999999,-35.6522,-0.860313,0.181958,12.89
5.37387,5.3529480000000005,-36.8304,-1.37069,0.194727,15.2953
5.32562,5.355594,-34.3399,-1.20562,0.201358,18.1401
5.36603,5.406408,-37.291,-1.56706,0.206789,18.0938
5.4614,5.402124,-47.234,-1.94504,0.225581,18.5449
5.67243,5.300063999999999,-48.3256,-0.990245,0.237446,21.1347
2.04142,5.2877160000000005,-38.8155,-2.79907,0.256335,33.0976
1.5137,5.799456,-18.3074,3.95535,0.231878,51.964
2.1208,5.712048000000001,-6.81933,-5.11368,0.0914264,8.55082
2.8945,5.529275999999999,-9.54179,-0.654214,0.0786734,3.8934
