DR,DLR_Cor,Ta_5m,Press,UR,ULR_Cor,Rain
-2.638666666666667,239.43333333333337,5.424666666666667,827.0,1.8020000000000005,307.40000000000003,0.0
-2.3516666666666666,237.63333333333333,4.898666666666666,827.0,1.863,304.93333333333334,0.0
-2.5660000000000003,234.2,4.341333333333334,827.0,1.57,303.1666666666667,0.0
-2.56,231.13333333333335,4.6419999999999995,827.0,1.7536666666666667,302.4666666666667,0.0
-2.8593333333333333,228.93333333333337,3.701000000000001,827.0,1.2403333333333333,300.6666666666667,0.0
-2.401,225.96666666666667,4.097666666666666,828.0,1.8083333333333331,299.1333333333334,0.0
-2.7616666666666667,227.0333333333333,4.313666666666666,828.0,1.717,300.53333333333336,0.0
-2.6086666666666667,224.16666666666663,4.094,828.0,2.0286666666666666,303.5,0.0
-2.999333333333333,220.80000000000004,3.5656666666666665,828.0,1.906,298.3333333333333,0.0
-3.0236666666666667,220.96666666666667,3.3686666666666665,828.0,1.7226666666666668,294.6666666666667,0.0
-3.012,217.9,2.0993333333333335,828.0,1.5703333333333331,293.43333333333334,0.0
-3.342,212.76666666666665,0.8533333333333334,828.3333333333334,1.8756666666666664,286.2666666666667,0.0
-2.939333333333334,209.9,0.3073333333333333,829.0,1.992,283.56666666666666,0.0
-1.7783333333333335,209.0666666666667,0.2983333333333333,829.0,2.707333333333333,288.0,0.0
-2.756,207.5666666666667,-0.592,829.6666666666666,1.2406666666666666,289.43333333333334,0.0
20.12066666666667,206.6,-1.0443333333333331,830.3333333333334,8.817333333333334,284.90000000000003,0.0
120.26666666666668,207.66666666666663,-1.1036666666666666,831.0,35.30666666666667,292.46666666666664,0.0
233.5333333333333,211.4,0.919,831.3333333333334,58.81666666666666,312.76666666666665,0.0
344.2,213.36666666666667,1.4493333333333334,832.0,80.05333333333334,332.43333333333334,0.0
455.2,216.1,1.8506666666666665,832.0,103.26666666666668,353.8,0.0
548.3666666666667,219.26666666666665,2.462666666666667,832.0,124.43333333333332,377.2,0.0
