Gs_1,Gs_2,Gs_3,Ts_0cm,Ts_2cm,Ts_4cm,Ts_10cm,Ts_20cm,Ts_40cm,Ts_60cm,Ts_100cm,Ms_2cm
-37.71666666666666,-41.830000000000005,-40.11333333333334,5.093333333333333,11.773333333333332,14.083333333333334,14.816666666666668,16.856666666666666,13.246666666666664,11.446666666666664,10.643333333333333,2.213
-33.629999999999995,-35.39333333333334,-31.84,6.448,11.626666666666663,13.676666666666668,14.340000000000002,16.616666666666664,13.3,11.413333333333332,10.65,2.214
-27.983333333333334,-26.906666666666663,-22.606666666666666,7.978333333333334,11.756666666666668,13.426666666666668,13.99,16.376666666666665,13.36,11.44,10.626666666666669,2.2183333333333333
-22.540000000000003,-20.28,-16.06,8.780000000000001,12.0,13.353333333333332,13.786666666666669,16.136666666666667,13.38,11.44,10.65,2.2353333333333336
-18.01,-16.060000000000002,-15.433333333333332,8.956666666666665,12.18,13.323333333333332,13.683333333333335,15.893333333333336,13.39,11.43,10.6,2.25
-17.16333333333333,-16.77333333333333,-17.680000000000003,8.69,12.223333333333334,13.293333333333331,13.633333333333336,15.703333333333331,13.486666666666666,11.466666666666669,10.653333333333334,2.252666666666667
-17.913333333333334,-19.453333333333333,-22.25666666666667,7.899000000000001,12.026666666666666,13.183333333333332,13.536666666666669,15.533333333333331,13.493333333333334,11.483333333333334,10.663333333333334,2.248
-19.76,-22.426666666666662,-25.463333333333335,6.609333333333333,11.686666666666667,12.96,13.383333333333333,15.336666666666666,13.476666666666668,11.473333333333334,10.656666666666666,2.2353333333333336
-22.209999999999997,-25.456666666666667,-27.24333333333333,5.975333333333334,11.300000000000002,12.726666666666668,13.176666666666668,15.203333333333331,13.543333333333331,11.486666666666666,10.696666666666667,2.221
-24.77,-29.77,-35.18666666666667,4.690666666666667,10.776666666666666,12.40333333333333,12.93,15.06,13.55,11.503333333333332,10.703333333333331,2.212333333333333
-28.373333333333335,-33.67333333333334,-36.666666666666664,4.326666666666667,10.153333333333334,11.983333333333333,12.616666666666667,14.92,13.593333333333334,11.55,10.73,2.1959999999999997
-29.126666666666665,-33.11333333333334,-34.296666666666674,4.261,9.713333333333331,11.543333333333331,12.22,14.753333333333332,13.6,11.526666666666666,10.686666666666667,2.1806666666666668
-28.376666666666665,-31.53,-32.50333333333334,4.027666666666667,9.396666666666668,11.196666666666664,11.876666666666663,14.566666666666668,13.573333333333332,11.496666666666668,10.663333333333332,2.1746666666666665
-29.536666666666665,-34.723333333333336,-38.43666666666667,2.260666666666667,8.953333333333333,10.866666666666667,11.57,14.420000000000002,13.553333333333333,11.506666666666666,10.656666666666666,2.17
-32.73,-38.526666666666664,-40.416666666666664,1.4483333333333333,8.35,10.46,11.25,14.256666666666668,13.563333333333334,11.566666666666668,10.706666666666669,2.1516666666666664
-34.47666666666667,-40.11666666666667,-40.49666666666667,0.6956666666666668,7.801666666666667,10.02,10.853333333333332,14.08,13.546666666666669,11.550000000000002,10.71,2.1326666666666667
-33.24666666666666,-35.343333333333334,-26.316666666666663,2.746,7.653333333333333,9.683333333333332,10.503333333333332,13.92,13.583333333333334,11.546666666666669,10.71,2.1316666666666664
-23.936666666666667,-17.146666666666665,4.414333333333333,6.525000000000001,8.338666666666667,9.62,10.206666666666663,13.693333333333332,13.52,11.556666666666668,10.7,2.167666666666667
-9.117333333333333,1.0693333333333337,17.666666666666668,8.207,9.71,10.106666666666667,10.313333333333333,13.513333333333334,13.536666666666669,11.586666666666668,10.7,2.215
2.891666666666667,16.983333333333334,40.60666666666666,11.376666666666669,11.106666666666664,10.813333333333333,10.693333333333332,13.326666666666666,13.51,11.606666666666667,10.753333333333332,2.2656666666666667
23.353333333333335,45.94,74.91666666666667,15.763333333333334,13.596666666666666,11.92,11.313333333333333,13.173333333333334,13.483333333333334,11.593333333333334,10.733333333333334,2.347
37.31333333333333,56.68666666666667,75.73666666666666,17.376666666666665,15.716666666666669,13.4,12.33,13.079999999999998,13.503333333333332,11.65,10.746666666666668,2.414
46.30666666666667,65.17,84.14333333333333,18.92,17.47,14.753333333333332,13.386666666666663,13.003333333333332,13.463333333333331,11.65,10.716666666666669,2.4773333333333336
56.31666666666666,78.42,98.73333333333332,21.076666666666668,19.463333333333335,16.136666666666667,14.486666666666666,13.06,13.426666666666668,11.676666666666668,10.78,2.541333333333333
63.68,83.79666666666667,100.46666666666664,22.613333333333333,21.156666666666663,17.526666666666667,15.65,13.12,13.416666666666666,11.67,10.783333333333331,2.598333333333333
74.08666666666667,97.6,114.7,24.596666666666668,23.17,18.94333333333333,16.813333333333333,13.27,13.35,11.663333333333334,10.736666666666666,2.6596666666666664
79.47,100.23333333333336,106.96666666666664,25.456666666666667,24.786666666666665,20.36666666666667,18.06,13.483333333333334,13.323333333333332,11.67,10.766666666666666,2.699666666666667
79.94666666666666,97.8,99.76666666666664,26.03,25.94333333333333,21.59,19.23,13.763333333333334,13.29,11.663333333333334,10.803333333333336,2.723333333333333
78.1,92.86666666666667,90.1,26.496666666666663,26.756666666666664,22.563333333333333,20.24,14.076666666666666,13.253333333333332,11.666666666666666,10.776666666666666,2.7283333333333335
72.33333333333333,82.7,76.00333333333333,26.15,27.063333333333333,23.27666666666667,21.073333333333338,14.433333333333332,13.26,11.67,10.76,2.725
67.79,79.11666666666667,72.92666666666668,26.436666666666667,27.373333333333335,23.763333333333335,21.706666666666667,14.806666666666668,13.216666666666669,11.686666666666666,10.77,2.723333333333333
55.00666666666666,53.15,29.66,24.006666666666664,26.623333333333335,24.00333333333333,22.2,15.199999999999998,13.2,11.69,10.78,2.683
44.17666666666667,42.79333333333333,30.823333333333338,23.913333333333338,25.896666666666665,23.8,22.323333333333338,15.586666666666668,13.17,11.696666666666667,10.78,2.6519999999999997
36.55666666666667,34.303333333333335,22.52,22.98,25.296666666666667,23.566666666666663,22.320000000000004,15.95,13.166666666666666,11.753333333333336,10.803333333333333,2.6333333333333333
27.633333333333336,24.22,9.253,21.886666666666667,24.546666666666667,23.24,22.19666666666667,16.266666666666666,13.146666666666668,11.75,10.833333333333334,2.6006666666666667
15.483333333333334,7.902333333333332,-11.316,19.453333333333333,23.38,22.736666666666665,21.959999999999997,16.563333333333333,13.156666666666666,11.75,10.833333333333334,2.5576666666666665
0.6479999999999998,-9.926666666666668,-29.52666666666667,16.953333333333333,21.763333333333332,21.929999999999996,21.486666666666668,16.80333333333333,13.18,11.783333333333331,10.823333333333332,2.5003333333333333
-8.445666666666666,-16.77333333333333,-29.25,15.873333333333331,20.433333333333337,20.996666666666663,20.816666666666663,16.986666666666665,13.163333333333332,11.78,10.843333333333334,2.461
-12.8,-19.58,-30.30333333333333,14.87,19.416666666666668,20.186666666666664,20.143333333333334,17.13,13.183333333333332,11.793333333333331,10.853333333333332,2.4293333333333336
-15.82,-21.603333333333335,-30.583333333333332,14.13,18.536666666666665,19.463333333333335,19.526666666666667,17.2,13.226666666666668,11.83,10.836666666666666,2.411
-18.113333333333333,-24.186666666666667,-35.336666666666666,12.803333333333333,17.709999999999997,18.793333333333333,18.930000000000003,17.216666666666665,13.24,11.803333333333336,10.839999999999998,2.387
-22.15,-28.62,-37.17333333333334,11.9,16.746666666666666,18.073333333333338,18.323333333333338,17.19,13.266666666666666,11.77,10.83,2.3699999999999997
-24.73333333333333,-31.22,-39.45333333333333,10.736666666666666,15.893333333333333,17.38333333333333,17.723333333333333,17.103333333333335,13.296666666666669,11.783333333333331,10.853333333333332,2.342
