Wnd,H2O,Hs,LE,Ustar,L
1.30495,1.6718166,117.197,9.68961,0.42334,-52.9082
2.68699,1.582092,-4.73569,0.559601,0.0453626,1.61105
1.92071,1.525257,0.300275,-0.0320112,0.0381341,-15.0929
1.08919,1.5039216,20.9795,1.23075,0.124622,-7.53824
1.9894,1.483893,-5.13411,-0.171762,0.0732824,6.26157
1.74587,1.4868594,3.77164,0.464047,0.0669211,-6.48924
1.52238,1.4269428,-9.62515,-1.39772,0.0427866,0.664508
1.7105,1.4334732,-3.04231,-0.180883,0.0556628,4.62853
2.34838,1.3951422,-10.0397,-0.568643,0.0715852,2.98301
2.81014,1.4577192,-9.28951,-2.16413,0.0828365,4.99518
2.81925,1.5986916,-6.05261,1.21373,0.112312,19.1073
3.44486,1.6396524,-12.088,-0.631228,0.117092,10.8414
2.84419,1.6669656,1.8123,-0.039006,0.125154,-88.3057
2.52948,1.7076582,3.47011,0.225999,0.119538,-40.1841
1.81051,1.7204994,49.4015,1.92011,0.111372,-2.28284
3.31974,1.7482068,76.563,2.16844,0.197053,-8.1586
3.3591,1.7750448,100.785,2.55692,0.185445,-5.1656
3.05203,1.807308,149.864,3.83524,0.215986,-5.48809
4.03637,1.85211,199.525,3.60975,0.228498,-4.88002
4.11801,1.874664,187.236,2.39324,0.25603,-7.31433
5.24879,1.964502,246.389,6.57397,0.329792,-11.8755
6.63331,1.991484,344.366,5.3288,0.427339,-18.4795
7.12405,1.972944,368.969,1.938,0.364691,-10.7148
8.0603,1.91043,246.263,2.57758,0.382164,-18.4637
7.62568,1.858716,313.382,3.90172,0.438784,-21.9523
8.56285,1.838052,280.906,2.44418,0.495938,-35.3445
7.49714,1.82448,307.755,2.16973,0.436231,-21.9468
8.66493,1.7425836,313.868,2.49024,0.546863,-42.3761
7.90098,1.742535,237.534,2.01823,0.466286,-34.6993
9.18976,1.5844104,177.538,-4.64605,0.459828,-44.5056
8.33453,1.5561306,146.125,2.00355,0.490093,-65.4552
8.36882,1.5155604,103.643,0.500966,0.452134,-72.4402
7.99508,1.5068682,42.7042,1.7657,0.406792,-128.029
7.10726,1.4705334,23.1221,0.638506,0.376965,-188.155
5.56587,1.4535936,-19.2007,-0.49166,0.277371,90.2626
3.05163,1.4330898,-12.852,-0.449751,0.119503,10.7838
2.3581,1.4153238,-5.6514,-0.248214,0.0548572,2.37205
2.24687,1.3866246,-1.79575,-0.00777262,0.0500352,5.66434
0.35276,1.379268,-7.30584,0.487443,0.169065,53.7153
1.54049,1.4167314,3.89788,0.105599,0.0314394,-0.647454
2.22683,1.3770522,2.4611,0.865592,0.0616397,-7.72652
2.62987,1.3802652,-27.9339,-2.50124,0.0824638,1.62978
2.71899,1.351701,-2.40319,-0.185904,0.0461559,3.32111
1.78169,1.3602024,-12.6916,-0.543357,0.112496,9.10377
1.92008,1.3409712,2.79849,0.126758,0.113771,-42.7088
2.9678,1.3484232,2.70191,0.435165,0.045106,-2.7566
2.48833,1.3348152,-15.9124,-0.121206,0.106429,6.14866
1.09935,1.3294278,-10.3047,-0.661984,0.11589,12.2604
0.382538,1.4968818,-49.2406,-3.14397,0.220804,17.7527
1.47197,1.510488,-59.2338,-2.22923,0.179627,7.94389
1.21382,1.470591,-16.7035,-1.01421,0.0775313,2.2651
1.63747,1.4062572,-19.969,-2.24218,0.0715858,1.49131
0.560468,1.4078592,11.1995,0.81363,0.0795486,-3.64872
2.07996,1.4004216,-1.32374,0.0427076,0.052836,9.04577
1.77589,1.3761396,0.12361,-0.0136477,0.0524035,-94.5036
1.18356,1.339119,-15.2669,-1.35399,0.0884134,3.67453
2.18738,1.2879072,-6.44902,-0.821386,0.0534196,1.91862
1.38204,1.262988,-7.37394,-1.35256,0.0324803,0.377197
1.00442,1.2012336,-4.90149,-0.291157,0.0925266,13.124
2.62228,1.2512988,-6.95715,-0.396487,0.122858,21.6569
1.71346,1.2709638,-0.419585,-0.0294707,0.066472,56.8984
2.90553,1.2917466,8.17346,0.204721,0.150959,-34.2146
3.40259,1.3374324,39.5385,1.18613,0.222388,-22.6186
4.30976,1.3860414,3.66255,-1.82901,0.255748,-371.466
5.26145,1.4641488,136.535,3.34206,0.330603,-21.529
5.62854,1.4276736,173.215,2.39154,0.359351,-21.7998
5.43895,1.4409882,196.749,3.18165,0.318812,-13.4031
4.12991,1.4426784,212.894,3.60268,0.288277,-9.15928
3.30437,1.4816556,197.071,3.11854,0.209989,-3.82492
1.83137,1.5068142,201.521,4.30943,0.221663,-4.40012
2.20095,1.4999238,172.478,2.73592,0.230876,-5.80909
3.44693,1.4929938,182.607,2.66405,0.17237,-2.28351
3.93983,1.4762466,202.823,3.54748,0.261366,-7.16708
4.66286,1.5692598,228.207,2.55788,0.29772,-9.41441
4.00477,1.6966512,254.063,0.507055,0.249138,-4.95505
5.29088,1.863468,272.51,-0.0477614,0.403229,-19.5833
6.87818,1.917162,228.732,1.70537,0.380961,-19.6757
7.10509,1.902042,167.015,0.700554,0.4078,-33.0528
7.72728,1.866168,142.329,0.445374,0.414291,-40.6726
7.17886,1.864818,98.7977,-0.288958,0.426237,-63.8171
7.53474,1.846026,66.2188,-0.0913851,0.414359,-87.4947
6.30811,1.838718,18.4361,-1.29141,0.358314,-203.273
5.38926,1.836828,-15.4624,-0.82485,0.270858,104.717
2.7311,1.804536,6.78367,0.609572,0.149079,-39.8065
1.89106,1.7735022,-0.067381,0.182512,0.0377788,65.2318
1.55593,1.7551062,-1.09459,-0.10514,0.0240486,1.03596
1.05365,1.737432,-1.42859,0.0465697,0.0378189,3.08743
2.04197,1.6991154,-0.386435,-0.139667,0.0366327,10.3729
2.65632,1.7812746,-2.58743,-0.0936335,0.0494605,3.81306
2.4838,1.6075728,15.7617,2.03192,0.118391,-8.5829
1.53427,1.539234,-4.64371,-0.251411,0.0481157,1.95539
1.25188,1.615536,-9.90941,-1.19496,0.0962999,7.34636
1.41794,1.6344252,-20.8873,-2.68028,0.13914,10.5127
2.14699,1.842948,-2.3994,-14.5054,0.056301,6.06249
1.26426,2.011878,2.79586,-0.902476,0.0586066,-5.86908
1.48608,1.961964,1.30303,0.0770708,0.124456,-120.604
1.81773,1.969128,2.1642,-0.222648,0.0648129,-10.2548
1.26858,2.110302,0.0552263,-0.46347,0.0486973,-170.434
1.25676,2.046582,-38.8625,0.0443267,0.148399,6.8546
2.97303,1.7715816,1.86624,0.909863,0.181239,-260.068
2.71138,1.6988382,27.5739,2.90507,0.131486,-6.72045
0.691298,1.7500482,79.3763,3.58294,0.246819,-15.4414
1.77177,2.339514,6.14925,6.08601,0.0828135,-7.52884
2.35409,2.401812,-1.98528,0.422622,0.103648,45.7177
2.53612,2.367252,-3.22524,-0.151832,0.0443053,2.1978
1.79326,2.20572,0.629061,2.7033,0.101952,-137.305
