DR,DLR_Cor,Ta_5m,Press,UR,ULR_Cor,Rain
-1.649,305.5,9.476666666666668,912.0,0.471,342.9333333333334,0.0
-0.433,307.7333333333333,10.05,909.3333333333334,1.3146666666666669,346.8666666666666,0.0
-1.2386666666666666,310.83333333333337,11.436666666666667,912.0,0.5850000000000001,353.8666666666666,0.0
-1.2613333333333332,316.1333333333333,11.85,911.6666666666666,0.471,357.56666666666666,0.0
-1.9596666666666664,302.8666666666667,12.006666666666666,912.0,0.38,358.0,0.0
-1.9443333333333337,306.26666666666665,11.633333333333336,912.0,0.319,356.7,0.0
-2.0050000000000003,304.09999999999997,10.823333333333332,911.3333333333334,0.372,352.90000000000003,0.0
-2.172,309.8333333333333,8.18,911.0,-0.2203333333333333,345.6333333333334,0.0
-1.1016666666666668,307.56666666666666,7.194666666666667,911.0,0.3116666666666667,341.4666666666667,0.0
-1.8463333333333332,278.6666666666667,7.207,911.0,0.9196666666666666,336.09999999999997,0.0
-1.9906666666666668,274.3,7.513999999999999,911.0,0.714,335.2666666666667,0.0
-1.8313333333333333,274.09999999999997,7.323666666666667,911.0,0.661,334.6333333333333,0.0
-1.9913333333333332,273.6666666666667,7.353333333333334,911.0,0.517,333.76666666666665,0.0
-2.8349999999999995,267.73333333333335,5.124,911.0,0.1593333333333333,325.56666666666666,0.0
-1.9383333333333337,265.03333333333336,4.082,911.6666666666666,0.532,320.8333333333333,0.0
11.310333333333332,263.1333333333333,3.296,912.0,9.281666666666666,317.1666666666667,0.0
54.22,263.96666666666664,3.5086666666666666,912.0,40.13999999999999,320.59999999999997,0.0
120.0,274.6666666666667,6.222999999999999,912.0,63.906666666666666,336.1,0.0
156.63333333333335,278.63333333333327,7.381333333333334,912.0,60.51333333333333,346.06666666666666,0.0
294.6333333333333,282.3,9.47,907.6666666666666,102.7,360.2,0.0
428.0,287.5333333333333,11.226666666666668,913.0,128.9333333333333,375.9666666666667,0.0
527.3333333333334,291.26666666666665,11.95,913.0,145.5666666666667,384.26666666666665,0.0
569.3333333333334,293.20000000000005,12.58,913.0,150.66666666666666,393.3,0.0
628.6,295.7,13.11,913.0,157.70000000000002,405.1000000000001,0.0
662.2666666666668,299.3666666666666,13.736666666666666,912.3333333333334,161.6,415.6000000000001,0.0
704.0333333333333,301.7,14.116666666666667,912.0,174.5,425.9,0.0
711.1333333333333,304.26666666666665,14.553333333333333,912.0,179.53333333333333,432.0333333333333,0.0
711.8666666666668,306.4666666666667,15.076666666666668,911.0,181.46666666666667,435.8,0.0
707.2666666666665,308.4666666666667,15.956666666666669,910.3333333333334,180.16666666666663,437.8666666666666,0.0
689.1,309.0333333333333,16.22,910.0,174.16666666666666,436.8666666666666,0.0
655.8333333333334,315.56666666666666,16.683333333333334,909.3333333333334,164.13333333333335,438.3999999999999,0.0
477.93333333333334,315.93333333333334,16.933333333333334,908.6666666666666,125.36666666666667,424.76666666666665,0.0
545.2666666666667,315.73333333333335,17.22,908.0,142.13333333333333,424.2666666666667,0.0
481.5333333333333,315.73333333333335,17.30333333333333,908.0,126.1,420.1,0.0
388.5666666666666,326.56666666666666,17.373333333333335,907.3333333333334,103.96666666666664,415.2,0.0
193.03333333333333,348.3666666666666,16.65666666666667,908.0,51.64333333333334,405.43333333333334,0.0
82.97666666666667,349.13333333333327,15.68,908.0,21.85,394.56666666666666,0.0
56.61333333333332,348.2,15.226666666666668,908.0,14.796666666666669,389.6333333333334,0.0
33.650000000000006,345.23333333333335,14.706666666666669,906.3333333333334,8.855,384.8333333333333,0.0
9.313333333333333,344.8333333333333,14.51,908.0,3.0433333333333334,382.3,0.0
-0.3263333333333333,316.3666666666667,13.973333333333334,908.3333333333334,0.7206666666666667,375.3666666666666,0.0
-1.7613333333333332,307.99999999999994,13.71,909.0,0.4706666666666666,371.2,0.0
-2.1940000000000004,295.6,12.883333333333336,909.0,0.456,365.2,0.0
-1.8903333333333336,293.4,12.596666666666666,909.6666666666666,0.5163333333333334,363.53333333333336,0.0
-2.217,286.1,12.310000000000002,910.0,0.4633333333333334,361.3666666666666,0.0
-1.9743333333333333,286.8333333333333,11.613333333333332,907.3333333333334,0.4023333333333332,358.7,0.0
-2.263,282.5,11.103333333333332,910.0,0.4253333333333333,355.3999999999999,0.0
-2.096,279.43333333333334,10.63,910.0,0.5086666666666667,352.3666666666666,0.0
-2.2176666666666662,276.93333333333334,10.213333333333331,910.0,0.4633333333333333,349.90000000000003,0.0
-2.2483333333333335,274.7,9.666666666666666,910.0,0.456,347.2,0.0
-2.331666666666667,272.3666666666666,8.770000000000001,910.6666666666666,0.4786666666666666,343.09999999999997,0.0
-1.9753333333333336,270.90000000000003,8.34,911.0,0.547,340.56666666666666,0.0
-1.9756666666666665,268.7,7.519000000000001,911.0,0.7066666666666667,336.73333333333335,0.0
-2.1653333333333333,267.93333333333334,7.172,911.0,0.4936666666666666,335.0,0.0
-1.5346666666666666,268.6666666666667,7.449000000000001,911.0,0.6533333333333333,335.76666666666665,0.0
-1.9223333333333332,266.93333333333334,7.338666666666668,911.0,0.4559999999999999,335.43333333333334,0.0
-2.1503333333333337,261.8333333333333,6.478666666666666,911.0,0.547,331.1333333333334,0.0
-2.2573333333333334,258.6666666666667,5.984333333333333,912.0,0.5243333333333333,328.4666666666667,0.0
-2.3563333333333336,256.8,5.539000000000001,912.0,0.5473333333333333,326.09999999999997,0.0
-2.2569999999999997,256.40000000000003,5.465,909.3333333333334,0.6386666666666666,325.5,0.0
